lot_id,n_predecessors,n_successors,is_terminal,is_root
L000879,1,2,False,False
L000880,4,7,False,False
L000881,1,2,False,False
L000882,5,14,False,False
L000883,1,2,False,False
L000884,1,2,False,False
L000885,14,14,False,False
L000886,6,7,False,False
L000887,5,7,False,False
L000888,2,4,False,False
L000889,1,6,False,False
L000890,2,8,False,False
L000891,2,3,False,False
L000892,3,7,False,False
L000893,1,2,False,False
L000894,1,1,False,False
L000895,0,1,False,True
L000896,1,2,False,False
L000897,1,1,False,False
L000898,5,7,False,False
L000899,1,5,False,False
L000900,4,7,False,False
L000901,2,3,False,False
L000902,6,7,False,False
L000903,5,7,False,False
L000904,10,14,False,False
L000905,3,7,False,False
L000906,1,2,False,False
L000907,1,1,False,False
L000908,0,1,False,True
L000909,1,1,False,False
L000910,5,7,False,False
L000911,4,7,False,False
L000912,7,14,False,False
L000913,14,14,False,False
L000914,6,7,False,False
L000915,5,7,False,False
L000916,2,6,False,False
L000917,2,6,False,False
L000918,3,7,False,False
L000919,1,2,False,False
L000920,1,1,False,False
L000921,0,1,False,True
L000922,1,1,False,False
L000923,5,7,False,False
L000924,2,3,False,False
L000925,2,2,False,False
L000926,2,6,False,False
L000927,4,7,False,False
L000928,2,2,False,False
L000929,2,2,False,False
L000930,2,2,False,False
L000931,6,7,False,False
L000932,5,7,False,False
L000933,11,14,False,False
L000934,3,7,False,False
L000935,1,2,False,False
L000936,1,1,False,False
L000937,0,1,False,True
L000938,1,2,False,False
L000939,1,1,False,False
L000940,5,7,False,False
L000941,5,23,False,False
L000942,0,23,False,True
L000943,0,10,False,True
L000944,0,10,False,True
L000945,0,12,False,True
L000946,0,6,False,True
L000947,1,6,False,False
L000948,0,13,False,True
L000949,0,6,False,True
L000950,1,9,False,False
L000951,0,6,False,True
L000952,0,6,False,True
L000953,0,8,False,True
L000954,0,9,False,True
L000955,0,6,False,True
L000956,4,7,False,False
L000957,5,14,False,False
L000958,14,14,False,False
L000959,1,13,False,False
L000960,1,12,False,False
L000961,1,8,False,False
L000962,1,6,False,False
L000963,1,6,False,False
L000964,1,8,False,False
L000965,1,9,False,False
L000966,1,9,False,False
L000967,6,7,False,False
L000968,5,7,False,False
L000969,1,4,False,False
L000970,1,6,False,False
L000971,1,8,False,False
L000972,1,3,False,False
L000973,3,7,False,False
L000974,1,2,False,False
L000975,1,1,False,False
L000976,0,1,False,True
L000977,1,1,False,False
L000978,5,7,False,False
L000979,1,5,False,False
L000980,4,7,False,False
L000981,1,3,False,False
L000982,6,7,False,False
L000983,5,7,False,False
L000984,1,6,False,False
L000985,13,14,False,False
L000986,3,7,False,False
L000987,1,2,False,False
L000988,1,1,False,False
L000989,0,1,False,True
L000990,1,1,False,False
L000991,5,7,False,False
L000992,1,3,False,False
L000993,1,2,False,False
L000994,4,7,False,False
L000995,1,2,False,False
L000996,5,14,False,False
L000997,1,2,False,False
L000998,1,2,False,False
L000999,12,14,False,False
L001000,6,7,False,False
L001001,5,7,False,False
L001002,1,6,False,False
L001003,3,7,False,False
L001004,1,2,False,False
L001005,1,1,False,False
L001006,0,1,False,True
L001007,1,2,False,False
L001008,1,1,False,False
L001009,5,7,False,False
L001010,1,5,False,False
L001011,2,7,False,False
L001012,4,7,False,False
L001013,1,8,False,False
L001014,6,7,False,False
L001015,5,7,False,False
L001016,11,14,False,False
L001017,3,7,False,False
L001018,1,2,False,False
L001019,1,1,False,False
L001020,0,1,False,True
L001021,1,1,False,False
L001022,5,7,False,False
L001023,4,7,False,False
L001024,7,14,False,False
L001025,16,14,False,False
L001026,6,7,False,False
L001027,5,7,False,False
L001028,1,6,False,False
L001029,1,4,False,False
L001030,1,6,False,False
L001031,1,8,False,False
L001032,1,3,False,False
L001033,3,7,False,False
L001034,1,2,False,False
L001035,1,1,False,False
L001036,0,1,False,True
L001037,1,1,False,False
L001038,5,7,False,False
L001039,1,3,False,False
L001040,1,2,False,False
L001041,1,5,False,False
L001042,2,11,False,False
L001043,4,7,False,False
L001044,1,2,False,False
L001045,1,2,False,False
L001046,1,2,False,False
L001047,1,3,False,False
L001048,6,7,False,False
L001049,5,7,False,False
L001050,10,14,False,False
L001051,3,7,False,False
L001052,1,2,False,False
L001053,1,1,False,False
L001054,0,1,False,True
L001055,1,2,False,False
L001056,1,1,False,False
L001057,5,7,False,False
L001058,4,7,False,False
L001059,5,14,False,False
L001060,12,14,False,False
L001061,6,7,False,False
L001062,5,7,False,False
L001063,1,6,False,False
L001064,3,7,False,False
L001065,1,2,False,False
L001066,1,1,False,False
L001067,0,1,False,True
L001068,1,1,False,False
L001069,5,7,False,False
L001070,1,5,False,False
L001071,4,7,False,False
L001072,6,7,False,False
L001073,5,7,False,False
L001074,2,6,False,False
L001075,15,14,False,False
L001076,3,7,False,False
L001077,1,2,False,False
L001078,1,1,False,False
L001079,0,1,False,True
L001080,1,1,False,False
L001081,5,7,False,False
L001082,2,3,False,False
L001083,2,2,False,False
L001084,4,7,False,False
L001085,2,2,False,False
L001086,8,14,False,False
L001087,2,2,False,False
L001088,2,2,False,False
L001089,22,14,False,False
L001090,6,7,False,False
L001091,5,7,False,False
L001092,1,4,False,False
L001093,1,6,False,False
L001094,1,8,False,False
L001095,1,3,False,False
L001096,3,7,False,False
L001097,1,2,False,False
L001098,1,1,False,False
L001099,0,1,False,True
L001100,1,2,False,False
L001101,1,1,False,False
L001102,5,7,False,False
L001103,5,23,False,False
L001104,0,23,False,True
L001105,1,5,False,False
L001106,0,10,False,True
L001107,0,10,False,True
L001108,0,12,False,True
L001109,0,6,False,True
L001110,1,6,False,False
L001111,0,13,False,True
L001112,0,6,False,True
L001113,1,9,False,False
L001114,0,6,False,True
L001115,0,6,False,True
L001116,0,8,False,True
L001117,0,9,False,True
L001118,0,6,False,True
L001119,4,7,False,False
L001120,1,3,False,False
L001121,1,13,False,False
L001122,1,12,False,False
L001123,1,8,False,False
L001124,1,6,False,False
L001125,1,6,False,False
L001126,1,8,False,False
L001127,1,9,False,False
L001128,1,9,False,False
L001129,6,7,False,False
L001130,5,7,False,False
L001131,11,14,False,False
L001132,3,7,False,False
L001133,1,2,False,False
L001134,1,1,False,False
L001135,0,1,False,True
L001136,1,1,False,False
L001137,5,7,False,False
L001138,4,7,False,False
L001139,7,14,False,False
L001140,14,14,False,False
L001141,6,7,False,False
L001142,5,7,False,False
L001143,1,6,False,False
