lot_id,item_code,item_type,sku,block_id,qty,uom,need_by,consume_at,duration_h,operation,department,machines,min_aging_h,max_aging_h,pooled,member_blocks,sub
L001089,TRD 1503 NEO MSIL,Tread,1325215813079TUNE3,B00720,1637370.0,MM,2026-04-12 23:00:00+05:30,2026-04-12 17:49:59.039999+05:30,0.9410172413793103,EXTRUSION,EXTRUDER,"""1002""",2.0,72.0,True,"[""B00720"", ""B00811"", ""B00900"", ""B01348"", ""B01526"", ""B01704"", ""B01882"", ""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883""]",0
L001090,B1-PBLT001,Steel Belt,1325215813079TUNE3,B00721,483.0,NOS,2026-04-13 07:00:00+05:30,2026-04-13 03:54:59.039999+05:30,0.5366666666666667,BELT CUTTER,CUTTING,"""801""",0.0,24.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883""]",0
L001091,B2-PBLT001,Steel Belt,1325215813079TUNE3,B00721,483.0,NOS,2026-04-13 07:00:00+05:30,2026-04-13 03:54:59.039999+05:30,0.5366666666666667,BELT CUTTER,CUTTING,"""801""",0.0,24.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883""]",0
L001092,B355,FINAL COMPOUND,1325215813079TUNE3,B00721,420.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 17:42:13.439999+05:30,0.075,FINAL MIXING,FINAL MIXING,"F270,310",4.0,120.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886""]",0
L001093,B460,FINAL COMPOUND,1325215813079TUNE3,B00721,660.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 19:29:23.039999+05:30,0.1125,FINAL MIXING,FINAL MIXING,F270,4.0,96.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884""]",0
L001094,B616M,FINAL COMPOUND,1325215813079TUNE3,B00721,430.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 23:42:59.040000+05:30,0.06666666666666667,FINAL MIXING,FINAL MIXING,"F270,310",4.0,120.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886""]",0
L001095,B815,FINAL COMPOUND,1325215813079TUNE3,B00721,440.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 21:35:57.064137+05:30,0.06966666666666667,FINAL MIXING,FINAL MIXING,"F270,310",4.0,120.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886""]",0
L001096,CAP 66 - CAPSTRIP,Cap Strip,1325215813079TUNE3,B00721,9726171.0,MM,2026-04-13 07:00:00+05:30,2026-04-13 03:59:59.040000+05:30,0.016666666666666666,CAP PLY SLITTER,CAP PLY SLITTER,"""701"",""702""",0.0,4.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883""]",0
L001097,CPJ120,CALANDARED ROLL,1325215813079TUNE3,B00721,189210.9882352941,MM,2026-04-13 07:00:00+05:30,2026-04-12 23:40:23.039999+05:30,0.07883791176470586,FOUR ROLL CALENDAR,CALENDERING,"""901""",4.0,72.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883""]",0
L001098,Cap 66 - MOTHER ROLL,Cap Strip,1325215813079TUNE3,B00721,48300.0,MM,2026-04-13 07:00:00+05:30,2026-04-13 03:53:59.040000+05:30,0.025967741935483866,FOUR ROLL CALENDAR,CALENDERING,"""901""",0.0,4.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883""]",0
L001099,EGSL01,Steel Belt Edge Strip,1325215813079TUNE3,B00721,229356.0,MM,2026-04-13 07:00:00+05:30,2026-04-13 03:40:23.039999+05:30,0.12742,EDGE GUM,SLITTER,"""601""",0.0,24.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883""]",0
L001100,HS108,FINAL COMPOUND,1325215813079TUNE3,B00721,440.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 23:21:32.039999+05:30,0.06666666666666667,FINAL MIXING,FINAL MIXING,F270,4.0,120.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885""]",0
