lot_id,item,item_type,sku,operation,department,machine,scheduled_start,scheduled_finish,duration_h,qty,uom,status
L000702,Cap 66 - MOTHER ROLL,Cap Strip,1325215813079TUNE3,FOUR ROLL CALENDAR,CALENDERING,"""901""",2026-04-05 11:52:25+05:30,2026-04-05 11:53:59+05:30,0.025967741935277778,48300.0,MM,PLACED
L000700,CAP 66 - CAPSTRIP,Cap Strip,1325215813079TUNE3,CAP PLY SLITTER,CAP PLY SLITTER,"""701""",2026-04-05 11:58:59+05:30,2026-04-05 11:59:59+05:30,0.016666666666666666,9726171.0,MM,PLACED
L000698,B2-PBLT001,Steel Belt,1325215813079TUNE3,BELT CUTTER,CUTTING,"""801""",2026-04-05 12:00:59+05:30,2026-04-05 12:33:11+05:30,0.5366666666666666,483.0,NOS,PLACED
L000790,MB813,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,440M,2026-04-05 12:21:28+05:30,2026-04-05 12:26:39+05:30,0.08633333333333333,710.0,KG,PLACED
L000013,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3405""",2026-04-05 12:43:11+05:30,2026-04-05 13:38:12+05:30,0.9169333333333334,69.0,NOS,PLACED
L000077,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3403""",2026-04-05 12:43:11+05:30,2026-04-05 13:38:12+05:30,0.9169333333333334,69.0,NOS,PLACED
L000141,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3410""",2026-04-05 12:43:11+05:30,2026-04-05 13:38:12+05:30,0.9169333333333334,69.0,NOS,PLACED
L000205,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3404""",2026-04-05 12:43:11+05:30,2026-04-05 13:38:12+05:30,0.9169333333333334,69.0,NOS,PLACED
L000718,IL007,Inner Liner,1325215813079TUNE3,RHC,CALENDERING,"""1101""",2026-04-05 13:35:39+05:30,2026-04-05 13:54:59+05:30,0.322,483000.0,MM,PLACED
L000270,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3405""",2026-04-05 13:38:12+05:30,2026-04-05 14:33:12+05:30,0.9169333333333334,69.0,NOS,PLACED
L000334,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3403""",2026-04-05 13:38:12+05:30,2026-04-05 14:33:12+05:30,0.9169333333333334,69.0,NOS,PLACED
L000398,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3410""",2026-04-05 13:38:12+05:30,2026-04-05 14:33:12+05:30,0.9169333333333334,69.0,NOS,PLACED
CURE_B00698,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4502,2026-04-05 15:00:00+05:30,2026-04-05 23:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B00789,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4503,2026-04-05 15:00:00+05:30,2026-04-05 23:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B00878,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4504,2026-04-05 15:00:00+05:30,2026-04-05 23:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B01326,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4509,2026-04-05 15:00:00+05:30,2026-04-05 23:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B01504,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4511,2026-04-05 15:00:00+05:30,2026-04-05 23:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B01682,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4513,2026-04-05 15:00:00+05:30,2026-04-05 23:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B01860,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4515,2026-04-05 15:00:00+05:30,2026-04-05 23:00:00+05:30,8.0,69.0,NOS,PINNED
L000714,CPJ120,CALANDARED ROLL,1325215813079TUNE3,FOUR ROLL CALENDAR,CALENDERING,"""901""",2026-04-05 15:08:03+05:30,2026-04-05 15:12:47+05:30,0.07883791176444445,189210.9882352941,MM,PLACED
L000717,HTPOLY350,CALANDARED ROLL,1325215813079TUNE3,FOUR ROLL CALENDAR,CALENDERING,"""901""",2026-04-05 15:56:47+05:30,2026-04-05 16:01:06+05:30,0.07213285371694445,181774.7913669065,MM,PLACED
L000796,MT273M,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-04-05 16:26:20+05:30,2026-04-05 16:35:20+05:30,0.15,540.0,KG,PLACED
L000802,XMB813,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,440M,2026-04-05 16:30:39+05:30,2026-04-05 16:35:20+05:30,0.078,750.0,KG,PLACED
L000794,MS105,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-04-05 16:51:00+05:30,2026-04-05 16:56:21+05:30,0.089,670.0,KG,PLACED
L000787,MB357,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-04-05 17:01:49+05:30,2026-04-05 17:08:19+05:30,0.10833333333333334,680.0,KG,PLACED
L000733,HS108,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-04-05 17:33:41+05:30,2026-04-05 17:37:41+05:30,0.06666666666666667,440.0,KG,PLACED
L000716,EGSL01,Steel Belt Edge Strip,1325215813079TUNE3,EDGE GUM,SLITTER,"""601""",2026-04-05 19:05:08+05:30,2026-04-05 19:12:47+05:30,0.12742,229356.0,MM,PLACED
L000709,B1-PBLT001,Steel Belt,1325215813079TUNE3,BELT CUTTER,CUTTING,"""801""",2026-04-05 19:22:47+05:30,2026-04-05 19:54:59+05:30,0.5366666666666666,483.0,NOS,PLACED
L000715,Cap 66 - MOTHER ROLL,Cap Strip,1325215813079TUNE3,FOUR ROLL CALENDAR,CALENDERING,"""901""",2026-04-05 19:52:25+05:30,2026-04-05 19:53:59+05:30,0.025967741935277778,48300.0,MM,PLACED
L000713,CAP 66 - CAPSTRIP,Cap Strip,1325215813079TUNE3,CAP PLY SLITTER,CAP PLY SLITTER,"""702""",2026-04-05 19:58:59+05:30,2026-04-05 19:59:59+05:30,0.016666666666666666,9726171.0,MM,PLACED
L000710,B2-PBLT001,Steel Belt,1325215813079TUNE3,BELT CUTTER,CUTTING,"""801""",2026-04-05 20:00:59+05:30,2026-04-05 20:33:11+05:30,0.5366666666666666,483.0,NOS,PLACED
L000722,PBP143,Ply,1325215813079TUNE3,PLY CUTTER,PLY CUTTER,"""1103""",2026-04-05 20:11:06+05:30,2026-04-05 20:43:18+05:30,0.5366666666666666,483.0,NOS,PLACED
L000744,B815,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,310,2026-04-05 20:39:20+05:30,2026-04-05 20:43:31+05:30,0.06966666666666667,440.0,KG,PLACED
L000754,T435M,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-04-05 20:39:20+05:30,2026-04-05 20:43:31+05:30,0.06966666666666667,460.0,KG,PLACED
L000014,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3404""",2026-04-05 20:53:18+05:30,2026-04-05 21:48:19+05:30,0.9169333333333334,69.0,NOS,PLACED
L000078,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3405""",2026-04-05 20:53:18+05:30,2026-04-05 21:48:19+05:30,0.9169333333333334,69.0,NOS,PLACED
L000142,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3403""",2026-04-05 20:53:18+05:30,2026-04-05 21:48:19+05:30,0.9169333333333334,69.0,NOS,PLACED
L000206,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3410""",2026-04-05 20:53:18+05:30,2026-04-05 21:48:19+05:30,0.9169333333333334,69.0,NOS,PLACED
L000803,XMS106,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-04-05 21:00:21+05:30,2026-04-05 21:08:21+05:30,0.1335,1005.0,KG,PLACED
L000801,XMB356,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-04-05 21:12:19+05:30,2026-04-05 21:17:09+05:30,0.08066666666666666,720.0,KG,PLACED
L000735,IL007,Inner Liner,1325215813079TUNE3,RHC,CALENDERING,"""1101""",2026-04-05 21:35:39+05:30,2026-04-05 21:54:59+05:30,0.322,483000.0,MM,PLACED
L000728,BA13001,Bead Apex,1325215813079TUNE3,BEAD APEXING,BEAD APEXING,"""201""",2026-04-05 21:47:41+05:30,2026-04-06 03:57:59+05:30,6.171666666666667,1932.0,NOS,PLACED
L000271,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3404""",2026-04-05 21:48:19+05:30,2026-04-05 22:43:20+05:30,0.9169333333333334,69.0,NOS,PLACED
L000335,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3405""",2026-04-05 21:48:19+05:30,2026-04-05 22:43:20+05:30,0.9169333333333334,69.0,NOS,PLACED
L000399,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3403""",2026-04-05 21:48:19+05:30,2026-04-05 22:43:20+05:30,0.9169333333333334,69.0,NOS,PLACED
