block_id,sku,need_by,wave_id
B00923,1325215813079TUNE3,2026-04-20 15:00:00+05:30,6
B00924,1325215813079TUNE3,2026-04-20 23:00:00+05:30,6
B00925,1325215813079TUNE3,2026-04-21 07:00:00+05:30,6
B00926,1325215813079TUNE3,2026-04-21 15:00:00+05:30,6
B00927,1325215813079TUNE3,2026-04-21 23:00:00+05:30,6
B00928,1325215813079TUNE3,2026-04-22 07:00:00+05:30,7
B01311,1325215813079TUNE3,2026-04-01 07:00:00+05:30,0
B01312,1325215813079TUNE3,2026-04-01 15:00:00+05:30,0
B01313,1325215813079TUNE3,2026-04-01 23:00:00+05:30,0
B01314,1325215813079TUNE3,2026-04-02 07:00:00+05:30,0
B01315,1325215813079TUNE3,2026-04-02 15:00:00+05:30,0
B01318,1325215813079TUNE3,2026-04-03 00:12:00+05:30,0
B01319,1325215813079TUNE3,2026-04-03 07:00:00+05:30,0
B01320,1325215813079TUNE3,2026-04-03 15:00:00+05:30,0
B01321,1325215813079TUNE3,2026-04-03 23:00:00+05:30,0
B01322,1325215813079TUNE3,2026-04-04 07:00:00+05:30,1
B01323,1325215813079TUNE3,2026-04-04 15:00:00+05:30,1
B01324,1325215813079TUNE3,2026-04-04 23:00:00+05:30,1
B01325,1325215813079TUNE3,2026-04-05 07:00:00+05:30,1
B01326,1325215813079TUNE3,2026-04-05 15:00:00+05:30,1
B01327,1325215813079TUNE3,2026-04-05 23:00:00+05:30,1
B01328,1325215813079TUNE3,2026-04-06 07:00:00+05:30,1
B01329,1325215813079TUNE3,2026-04-06 15:00:00+05:30,1
B01330,1325215813079TUNE3,2026-04-06 23:00:00+05:30,1
B01331,1325215813079TUNE3,2026-04-07 07:00:00+05:30,2
B01332,1325215813079TUNE3,2026-04-07 15:00:00+05:30,2
B01333,1325215813079TUNE3,2026-04-07 23:00:00+05:30,2
B01334,1325215813079TUNE3,2026-04-08 07:00:00+05:30,2
B01335,1325215813079TUNE3,2026-04-08 15:00:00+05:30,2
B01336,1325215813079TUNE3,2026-04-08 23:00:00+05:30,2
B01337,1325215813079TUNE3,2026-04-09 07:00:00+05:30,2
B01338,1325215813079TUNE3,2026-04-09 15:00:00+05:30,2
B01339,1325215813079TUNE3,2026-04-09 23:00:00+05:30,2
B01340,1325215813079TUNE3,2026-04-10 07:00:00+05:30,3
B01341,1325215813079TUNE3,2026-04-10 15:00:00+05:30,3
B01342,1325215813079TUNE3,2026-04-10 23:00:00+05:30,3
B01343,1325215813079TUNE3,2026-04-11 07:00:00+05:30,3
B01344,1325215813079TUNE3,2026-04-11 15:00:00+05:30,3
B01345,1325215813079TUNE3,2026-04-11 23:00:00+05:30,3
B01346,1325215813079TUNE3,2026-04-12 07:00:00+05:30,3
B01347,1325215813079TUNE3,2026-04-12 15:00:00+05:30,3
B01348,1325215813079TUNE3,2026-04-12 23:00:00+05:30,3
B01349,1325215813079TUNE3,2026-04-13 07:00:00+05:30,4
B01350,1325215813079TUNE3,2026-04-13 15:00:00+05:30,4
B01351,1325215813079TUNE3,2026-04-13 23:00:00+05:30,4
B01352,1325215813079TUNE3,2026-04-14 07:00:00+05:30,4
B01353,1325215813079TUNE3,2026-04-14 15:00:00+05:30,4
B01354,1325215813079TUNE3,2026-04-14 23:00:00+05:30,4
B01355,1325215813079TUNE3,2026-04-15 07:00:00+05:30,4
B01356,1325215813079TUNE3,2026-04-15 15:00:00+05:30,4
B01357,1325215813079TUNE3,2026-04-15 23:00:00+05:30,4
B01358,1325215813079TUNE3,2026-04-16 07:00:00+05:30,5
B01359,1325215813079TUNE3,2026-04-16 15:00:00+05:30,5
B01360,1325215813079TUNE3,2026-04-16 23:00:00+05:30,5
B01361,1325215813079TUNE3,2026-04-17 07:00:00+05:30,5
B01362,1325215813079TUNE3,2026-04-17 15:00:00+05:30,5
B01363,1325215813079TUNE3,2026-04-17 23:00:00+05:30,5
B01364,1325215813079TUNE3,2026-04-18 07:00:00+05:30,5
B01365,1325215813079TUNE3,2026-04-18 15:00:00+05:30,5
B01366,1325215813079TUNE3,2026-04-18 23:00:00+05:30,5
B01367,1325215813079TUNE3,2026-04-19 07:00:00+05:30,6
B01368,1325215813079TUNE3,2026-04-19 15:00:00+05:30,6
B01369,1325215813079TUNE3,2026-04-19 23:00:00+05:30,6
B01370,1325215813079TUNE3,2026-04-20 07:00:00+05:30,6
B01371,1325215813079TUNE3,2026-04-20 15:00:00+05:30,6
B01372,1325215813079TUNE3,2026-04-20 23:00:00+05:30,6
