ItemCode,ItemType
1040S28600,Bead wire
1050224A00,Rubber chemicals
1051612D00,Rubber chemicals
1052028000,Rubber chemicals
1053122A00,Rubber chemicals
1053388A00,Rubber chemicals
1053755A00,Process oil
1053825A00,Rubber chemicals
1053P40000,Rubber chemicals
1055GH0100,Rubber chemicals
1055GR7700,Rubber chemicals
1055RH0700,Tube Valves &Acce.
1060E20000,Carbon black
1060EC2100,Synethic rubber
1060T30M00,Synethic rubber
1060T50M00,Synethic rubber
1245,Synethic rubber
1583,Rubber chemicals
1712,Synethic rubber
24MG,MASTER COMPOUND
24MGAMC,SMALL CHEMICAL
24MGBMC,SMALL CHEMICAL
25G,FINAL COMPOUND
25GFC,SMALL CHEMICAL
29MG,MASTER COMPOUND
29MGMC,SMALL CHEMICAL
30G,FINAL COMPOUND
30GFC,SMALL CHEMICAL
388A,Rubber chemicals
825A,Rubber chemicals
A1031,FINAL COMPOUND
A1031FC,SMALL CHEMICAL
A1035FC,SMALL CHEMICAL
A1133,FINAL COMPOUND
A1133FC,SMALL CHEMICAL
A5542,FINAL COMPOUND
A5542FC,SMALL CHEMICAL
AP 0011,Apex
AP 0012,Apex
AP 0018,Apex
AP 0022,Apex
AP0007,Apex
AP0009,Apex
AP0018T1,Apex
B1,FINAL COMPOUND
B1-1462 NXT,Steel Belt
B1-1482 NXT,Steel Belt
B1-1684 TOR MARUTI,Steel Belt
B1-1865 VEC,Steel Belt
B1-2155 BRU,Steel Belt
B1-PBLT001,Steel Belt
B1-PBLT002,Steel Belt
B1-PBLT003,Steel Belt
B1-PBLT004,Steel Belt
B1-PBLT005,Steel Belt
B1-PBLT006,Steel Belt
B1-PBLT007,Steel Belt
B1-PBLT008,Steel Belt
B1-PBLT009,Steel Belt
B1-PBLT010,Steel Belt
B1-PBLT011,Steel Belt
B1-PBLT012,Steel Belt
B1-PBLT013,Steel Belt
B1-PBLT014,Steel Belt
B1-PBLT015,Steel Belt
B1-PBLT016,Steel Belt
B1-PBLT017,Steel Belt
B1-PBLT018,Steel Belt
B1-PBLT019,Steel Belt
B1-PBLT020,Steel Belt
B1-PBLT021,Steel Belt
B1-PBLT022,Steel Belt
B1-PBLT024,Steel Belt
B1-PBLT025,Steel Belt
B1-PBLT026,Steel Belt
B1-PBLT027,Steel Belt
B1-PBLT028,Steel Belt
B1-PBLT029,Steel Belt
B1-PBLT030,Steel Belt
B1-PBLT031,Steel Belt
B1-PBLT032,Steel Belt
B1-PBLT033,Steel Belt
B1-PBLT034,Steel Belt
B1-PBLT035,Steel Belt
B1-PBLT036,Steel Belt
B1-PBLT037,Steel Belt
B1-PBLT038,Steel Belt
B1-PBLT039,Steel Belt
B1-PBLT040,Steel Belt
B1-PBLT041,Steel Belt
B1-PBLT042,Steel Belt
B1-PBLT043,Steel Belt
B1-PBLT044,Steel Belt
B1-PBLT045,Steel Belt
B1-PBLT046,Steel Belt
B1-PBLT047,Steel Belt
B1-PBLT048,Steel Belt
B1-PBLT049,Steel Belt
B1-PBLT050,Steel Belt
B1-PBLT051,Steel Belt
B1-PBLT052,Steel Belt
B1-PBLT053,Steel Belt
B1-PBLT054,Steel Belt
B1-PBLT055,Steel Belt
B1-PBLT056,Steel Belt
B1-PBLT057,Steel Belt
B1-PBLT058,Steel Belt
B1-PBLT059,Steel Belt
B1-PBLT060,Steel Belt
B1-PBLT061,Steel Belt
B1-PBLT062,Steel Belt
B1-PBLT063,Steel Belt
B1-PBLT064,Steel Belt
B1-PBLT065,Steel Belt
B1-PBLT066,Steel Belt
B1-PBLT067,Steel Belt
B1-PBLT068,Steel Belt
B1-PBLT069,Steel Belt
B1-PBLT070,Steel Belt
B1-PBLT071,Steel Belt
B1-PBLT072,Steel Belt
B1-PBLT073,Steel Belt
B1-PBLT074,Steel Belt
B1-PBLT075,Steel Belt
B1-PBLT076,Steel Belt
B1-PBLT077,Steel Belt
B1-PBLT078,Steel Belt
B1-PBLT079,Steel Belt
B1-PBLT080,Steel Belt
B1-PBLT081,Steel Belt
B1-PBLT082,Steel Belt
B1-PBLT083,Steel Belt
B1-PBLT084,Steel Belt
B1-PBLT085,Steel Belt
B1-PBLT086,Steel Belt
B1-PBLT088,Steel Belt
B1-PBLT089,Steel Belt
B1-PBLT090,Steel Belt
B1-PBLT091,Steel Belt
B1-PBLT093,Steel Belt
B1-PBLT094,Steel Belt
B1-PBLT095,Steel Belt
B1-PBLT096,Steel Belt
B1-PBLT097,Steel Belt
B1-PBLT098,Steel Belt
B1-PBLT099,Steel Belt
B1-PBLT100,Steel Belt
B1-PBLT101,Steel Belt
B1-PBLT102,Steel Belt
B1-PBLT103,Steel Belt
B1-PBLT104,Steel Belt
B1-PBLT105,Steel Belt
B1-PBLT107,Steel Belt
B1-SBLT01,Steel Belt
B1-SBLT02,Steel Belt
B1-TBLT001,Steel Belt
B1-TBLT002,Steel Belt
B1-TBLT003,Steel Belt
B1-TBLT005,Steel Belt
B1-TBLT006,Steel Belt
B1-TBLT007,Steel Belt
B1-TBLT008,Steel Belt
B1-TBLT009,Steel Belt
